Area,ISO3 Code,Year,Demand,Net Imports,Total Generation,Clean,Nuclear,Wind and Solar,"Hydro, Bioenergy and Other Renewables",Fossil,Coal,Gas and Other Fossil,AvgPrice_EUR_MWh,MaxPrice_EUR_MWh,StdPrice_EUR_MWh
Austria,AUT,2015,71.84,10.06,61.78,47.59,0.0,5.78,41.81,14.19,2.95,11.24,31.764166666666668,39.37,3.8172061614206636
Austria,AUT,2016,72.03,7.16,64.87,51.08,0.0,6.33,44.75,13.79,2.04,11.75,28.956666666666667,38.21,5.7921142839888695
Austria,AUT,2017,73.64,6.55,67.09,51.05,0.0,7.84,43.21,16.04,1.76,14.28,34.41916666666666,52.41,6.841539510869457
Austria,AUT,2018,73.62,8.95,64.67,50.06,0.0,7.49,42.57,14.61,1.81,12.8,40.891666666666666,48.63,6.231735251310363
Austria,AUT,2019,73.82,3.13,70.69,54.64,0.0,9.15,45.49,16.05,1.5,14.55,40.137499999999996,56.68,6.267980862359833
Austria,AUT,2020,71.24,2.2,69.04,55.42,0.0,8.83,46.59,13.62,0.56,13.06,33.09083333333333,50.35,10.133754987738515
Austria,AUT,2021,74.22,7.54,66.68,52.75,0.0,9.52,43.23,13.93,0.0,13.93,107.59833333333334,259.08,69.7332669838609
Austria,AUT,2022,73.19,8.7,64.49,50.42,0.0,11.04,39.38,14.07,0.0,14.07,262.435,488.27,102.58482623042879
Austria,AUT,2023,71.21,-0.07,71.28,60.46,0.0,15.23,45.23,10.82,0.0,10.82,102.38916666666667,144.9,22.234035931154715
Austria,AUT,2024,71.99,-6.78,78.77,67.96,0.0,17.58,50.38,10.81,0.0,10.81,81.18249999999999,130.21,24.22768593797375
Belgium,BEL,2015,89.43,21.0,68.43,40.54,26.1,8.63,5.81,27.89,2.07,25.82,44.69166666666666,55.43,6.035499276377352
Belgium,BEL,2016,90.49,6.18,84.31,57.77,43.52,8.52,5.73,26.54,0.39,26.15,36.585,62.32,13.571880354749533
Belgium,BEL,2017,91.36,6.02,85.34,58.03,42.23,9.83,5.97,27.31,0.0,27.31,44.593333333333334,72.66,13.82316654509137
Belgium,BEL,2018,91.2,17.33,73.87,45.76,28.6,11.47,5.69,28.11,0.0,28.11,55.24916666666667,77.73,13.638041353863718
Belgium,BEL,2019,90.84,-1.85,92.69,62.97,43.52,14.0,5.45,29.72,0.0,29.72,39.37416666666667,60.48,8.35021007719766
Belgium,BEL,2020,87.96,-0.33,88.29,57.88,34.43,17.92,5.53,30.41,0.0,30.41,31.855833333333333,47.4,10.653310589443617
Belgium,BEL,2021,91.52,-7.88,99.4,73.08,50.33,17.62,5.13,26.32,0.0,26.32,103.81833333333333,245.43,67.21442334841984
Belgium,BEL,2022,86.8,-7.53,94.33,68.31,43.88,19.23,5.2,26.02,0.0,26.02,243.74,448.12,89.64098991380715
Belgium,BEL,2023,83.79,1.64,82.15,60.41,32.93,23.29,4.19,21.74,0.0,21.74,97.63166666666666,143.51,21.849647317034385
Belgium,BEL,2024,86.37,10.34,76.03,58.05,31.25,22.64,4.16,17.98,0.0,17.98,70.28416666666666,108.95,19.34369216347157
Bulgaria,BGR,2016,38.16,-6.37,44.53,22.82,15.78,2.81,4.23,21.71,19.37,2.34,37.833333333333336,42.06,3.665328543709737
Bulgaria,BGR,2017,39.36,-5.48,44.84,21.68,15.55,2.9,3.23,23.16,20.92,2.24,39.6725,54.41,5.806040937130598
Bulgaria,BGR,2018,38.7,-7.81,46.51,25.51,16.13,2.66,6.72,21.0,18.66,2.34,39.85916666666667,57.22,9.063702292243727
Bulgaria,BGR,2019,37.91,-5.81,43.72,24.05,16.56,2.74,4.75,19.67,17.2,2.47,47.3825,67.38,9.556276495295927
Bulgaria,BGR,2020,36.73,-3.41,40.14,24.1,16.63,2.95,4.52,16.04,13.51,2.53,39.2825,56.76,11.123637505943655
Bulgaria,BGR,2021,38.44,-8.78,47.22,26.8,16.49,2.9,7.41,20.42,17.09,3.33,108.30583333333334,219.75,63.85658753777637
Bulgaria,BGR,2022,38.09,-12.19,50.28,26.09,16.46,3.59,6.04,24.19,21.79,2.4,252.24916666666664,433.22,82.05481365951037
Bulgaria,BGR,2023,36.78,-3.33,40.11,26.24,16.16,5.13,4.95,13.87,11.73,2.14,104.08166666666666,142.37,18.559827993586442
Bulgaria,BGR,2024,37.34,-0.99,38.33,27.27,15.78,6.98,4.51,11.06,8.76,2.3,102.44916666666666,167.75,34.085528643088224
Croatia,HRV,2017,18.72,6.95,11.77,7.12,0.0,1.28,5.84,4.65,1.37,3.28,51.776666666666664,60.92,9.24667688055192
Croatia,HRV,2018,18.91,5.39,13.52,9.78,0.0,1.41,8.37,3.74,1.45,2.29,51.925000000000004,64.16,11.083931448887457
Croatia,HRV,2019,18.78,6.13,12.65,8.35,0.0,1.55,6.8,4.3,1.64,2.66,49.251666666666665,69.32,8.954336515021224
Croatia,HRV,2020,17.87,4.64,13.23,8.55,0.0,1.82,6.73,4.68,1.22,3.46,38.026666666666664,55.56,10.614647969440696
Croatia,HRV,2021,19.07,3.96,15.11,10.53,0.0,2.21,8.32,4.58,1.46,3.12,114.28416666666668,251.76,71.35603605204403
Croatia,HRV,2022,18.79,4.69,14.1,8.95,0.0,2.29,6.66,5.15,1.56,3.59,271.68583333333333,494.05,98.10132187584365
Croatia,HRV,2023,18.81,1.58,17.23,12.02,0.0,2.79,9.23,5.21,1.33,3.88,104.01416666666667,145.24,19.729240624161402
Croatia,HRV,2024,19.48,4.36,15.12,11.06,0.0,3.29,7.77,4.06,0.8,3.26,94.61583333333334,144.79,27.1820530558921
Czechia,CZE,2015,69.98,-12.51,82.49,36.25,26.84,2.83,6.58,46.24,41.14,5.1,32.35,39.08,3.944558968318949
Czechia,CZE,2016,71.03,-10.97,82.0,33.49,24.1,2.63,6.76,48.51,41.97,6.54,31.125,43.45,6.886963310223428
Czechia,CZE,2017,72.72,-13.04,85.76,37.97,28.34,2.79,6.84,47.79,41.44,6.35,36.465833333333336,54.31,6.797698084088778
