Area,ISO 3 code,Year,Demand,Net Imports,Total Generation,Clean,Nuclear,Wind and Solar,Wind,Solar,"Hydro, Bioenergy and Other Renewables",Hydro,Bioenergy,Other Renewables,Fossil,Coal,Gas and Other Fossil,Gas,Other Fossil
Austria,AUT,2000,58.27,-1.37,59.64,43.44,0.0,0.07,0.07,0.0,43.37,41.84,1.53,0.0,16.2,5.72,10.48,7.85,2.63
Austria,AUT,2001,61.2,0.22,60.98,42.24,0.0,0.11,0.1,0.01,42.13,40.46,1.67,0.0,18.74,6.89,11.85,8.75,3.1
Austria,AUT,2002,61.33,0.7,60.63,41.9,0.0,0.15,0.14,0.01,41.75,40.23,1.52,0.0,18.73,6.61,12.12,9.31,2.81
Austria,AUT,2003,63.58,5.61,57.97,35.24,0.0,0.38,0.37,0.01,34.86,33.21,1.65,0.0,22.73,8.44,14.29,11.16,3.13
Austria,AUT,2004,64.93,3.08,61.85,39.62,0.0,0.95,0.93,0.02,38.67,36.76,1.91,0.0,22.23,7.91,14.32,10.95,3.37
Austria,AUT,2005,66.99,2.62,64.37,40.88,0.0,1.35,1.33,0.02,39.53,37.1,2.43,0.0,23.49,7.17,16.32,13.03,3.29
Austria,AUT,2006,68.55,6.34,62.21,40.66,0.0,1.77,1.75,0.02,38.89,35.66,3.23,0.0,21.55,7.37,14.18,10.67,3.51
Austria,AUT,2007,68.85,6.02,62.83,43.17,0.0,2.06,2.04,0.02,41.11,37.05,4.06,0.0,19.66,6.6,13.06,9.9,3.16
Austria,AUT,2008,69.24,4.86,64.38,44.53,0.0,2.04,2.01,0.03,42.49,38.33,4.16,0.0,19.85,5.53,14.32,11.18,3.14
Austria,AUT,2009,66.99,0.78,66.21,47.18,0.0,2.0,1.95,0.05,45.18,40.9,4.28,0.0,19.03,3.76,15.27,12.34,2.93
Austria,AUT,2010,70.26,2.44,67.82,44.99,0.0,2.15,2.06,0.09,42.84,38.36,4.48,0.0,22.83,4.92,17.91,14.35,3.56
Austria,AUT,2011,70.4,8.2,62.2,40.91,0.0,2.11,1.94,0.17,38.8,34.24,4.56,0.0,21.29,5.43,15.86,12.44,3.42
Austria,AUT,2012,71.45,2.8,68.65,51.33,0.0,2.8,2.46,0.34,48.53,43.85,4.68,0.0,17.32,4.39,12.93,9.71,3.22
Austria,AUT,2013,71.82,7.27,64.55,50.5,0.0,3.78,3.15,0.63,46.72,42.02,4.7,0.0,14.05,4.21,9.84,6.65,3.19
Austria,AUT,2014,70.82,9.27,61.55,50.2,0.0,4.64,3.85,0.79,45.56,41.01,4.55,0.0,11.35,2.94,8.41,5.32,3.09
Austria,AUT,2015,71.84,10.06,61.78,47.59,0.0,5.78,4.84,0.94,41.81,37.16,4.65,0.0,14.19,2.95,11.24,7.66,3.58
Austria,AUT,2016,72.03,7.16,64.87,51.08,0.0,6.33,5.23,1.1,44.75,39.97,4.78,0.0,13.79,2.04,11.75,8.49,3.26
Austria,AUT,2017,73.64,6.55,67.09,51.05,0.0,7.84,6.57,1.27,43.21,38.29,4.92,0.0,16.04,1.76,14.28,10.91,3.37
Austria,AUT,2018,73.62,8.95,64.67,50.06,0.0,7.49,6.03,1.46,42.57,37.64,4.93,0.0,14.61,1.81,12.8,9.92,2.88
Austria,AUT,2019,73.82,3.13,70.69,54.64,0.0,9.15,7.45,1.7,45.49,40.83,4.66,0.0,16.05,1.5,14.55,11.32,3.23
Austria,AUT,2020,71.24,2.2,69.04,55.42,0.0,8.83,6.79,2.04,46.59,42.0,4.59,0.0,13.62,0.56,13.06,9.95,3.11
Austria,AUT,2021,74.22,7.54,66.68,52.75,0.0,9.52,6.74,2.78,43.23,38.75,4.48,0.0,13.93,0.0,13.93,10.62,3.31
Austria,AUT,2022,73.19,8.7,64.49,50.42,0.0,11.04,7.25,3.79,39.38,34.63,4.75,0.0,14.07,0.0,14.07,10.85,3.22
Austria,AUT,2023,71.21,-0.07,71.28,60.46,0.0,15.23,8.34,6.89,45.23,40.67,4.56,0.0,10.82,0.0,10.82,7.5,3.32
Austria,AUT,2024,71.99,-6.78,78.77,67.96,0.0,17.58,9.44,8.14,50.38,45.71,4.67,0.0,10.81,0.0,10.81,7.54,3.27
Belgium,BEL,2000,87.12,4.33,82.79,49.21,48.16,0.02,0.02,0.0,1.03,0.46,0.57,0.0,33.58,12.92,20.66,15.98,4.68
Belgium,BEL,2001,87.74,9.11,78.63,47.43,46.35,0.04,0.04,0.0,1.04,0.44,0.6,0.0,31.2,9.94,21.26,15.78,5.48
Belgium,BEL,2002,88.53,7.59,80.94,48.5,47.36,0.06,0.06,0.0,1.08,0.36,0.72,0.0,32.44,10.03,22.41,17.87,4.54
Belgium,BEL,2003,89.98,6.41,83.57,48.58,47.38,0.09,0.09,0.0,1.11,0.25,0.86,0.0,34.99,9.64,25.35,21.61,3.74
Belgium,BEL,2004,90.69,7.78,82.91,48.81,47.31,0.14,0.14,0.0,1.36,0.32,1.04,0.0,34.1,9.15,24.95,20.04,4.91
Belgium,BEL,2005,90.68,6.3,84.38,49.71,47.6,0.23,0.23,0.0,1.88,0.29,1.59,0.0,34.67,8.2,26.47,21.5,4.97
Belgium,BEL,2006,93.5,10.16,83.34,49.61,46.65,0.37,0.37,0.0,2.59,0.36,2.23,0.0,33.73,6.85,26.88,21.99,4.89
Belgium,BEL,2007,93.59,6.78,86.81,51.72,48.23,0.5,0.49,0.01,2.99,0.39,2.6,0.0,35.09,6.47,28.62,24.66,3.96
Belgium,BEL,2008,93.66,10.6,83.06,49.99,45.57,0.68,0.64,0.04,3.74,0.41,3.33,0.0,33.07,5.55,27.52,24.11,3.41
Belgium,BEL,2009,87.92,-1.84,89.76,52.66,47.22,1.16,0.99,0.17,4.28,0.33,3.95,0.0,37.1,5.18,31.92,29.25,2.67
Belgium,BEL,2010,93.58,0.55,93.03,54.5,47.94,1.87,1.29,0.58,4.69,0.31,4.38,0.0,38.53,4.2,34.33,30.84,3.49
Belgium,BEL,2011,91.81,2.54,89.27,56.58,48.23,3.52,2.31,1.21,4.83,0.2,4.63,0.0,32.69,3.48,29.21,25.44,3.77
Belgium,BEL,2012,91.45,9.94,81.51,50.8,40.29,4.91,2.76,2.15,5.6,0.36,5.24,0.0,30.71,3.39,27.32,23.57,3.75
Belgium,BEL,2013,91.59,9.64,81.95,54.36,42.64,6.31,3.67,2.64,5.41,0.38,5.03,0.0,27.59,3.01,24.58,20.8,3.78
Belgium,BEL,2014,88.8,17.6,71.2,45.91,33.7,7.51,4.62,2.89,4.7,0.29,4.41,0.0,25.29,2.09,23.2,19.34,3.86
Belgium,BEL,2015,89.43,21.0,68.43,40.54,26.1,8.63,5.57,3.06,5.81,0.32,5.49,0.0,27.89,2.07,25.82,22.02,3.8
Belgium,BEL,2016,90.49,6.18,84.31,57.77,43.52,8.52,5.42,3.1,5.73,0.37,5.36,0.0,26.54,0.39,26.15,22.07,4.08
Belgium,BEL,2017,91.36,6.02,85.34,58.03,42.23,9.83,6.52,3.31,5.97,0.27,5.7,0.0,27.31,0.0,27.31,23.02,4.29
Belgium,BEL,2018,91.2,17.33,73.87,45.76,28.6,11.47,7.57,3.9,5.69,0.29,5.4,0.0,28.11,0.0,28.11,23.99,4.12
Belgium,BEL,2019,90.84,-1.85,92.69,62.97,43.52,14.0,9.75,4.25,5.45,0.3,5.15,0.0,29.72,0.0,29.72,25.54,4.18
Belgium,BEL,2020,87.96,-0.33,88.29,57.88,34.43,17.92,12.81,5.11,5.53,0.27,5.26,0.0,30.41,0.0,30.41,26.78,3.63
Belgium,BEL,2021,91.52,-7.88,99.4,73.08,50.33,17.62,12.0,5.62,5.13,0.42,4.71,0.0,26.32,0.0,26.32,22.52,3.8
Belgium,BEL,2022,86.8,-7.53,94.33,68.31,43.88,19.23,12.35,6.88,5.2,0.27,4.93,0.0,26.02,0.0,26.02,21.95,4.07
Belgium,BEL,2023,83.79,1.64,82.15,60.41,32.93,23.29,15.46,7.83,4.19,0.4,3.79,0.0,21.74,0.0,21.74,18.3,3.44
Belgium,BEL,2024,86.37,10.34,76.03,58.05,31.25,22.64,14.08,8.56,4.16,0.55,3.61,0.0,17.98,0.0,17.98,14.17,3.81
Bulgaria,BGR,2000,35.97,-4.62,40.59,20.81,18.18,0.0,0.0,0.0,2.63,2.63,0.0,0.0,19.78,16.94,2.84,1.91,0.93
Bulgaria,BGR,2001,36.51,-6.93,43.44,21.2,19.55,0.0,0.0,0.0,1.65,1.65,0.0,0.0,22.24,19.5,2.74,1.91,0.83
Bulgaria,BGR,2002,35.78,-6.3,42.08,22.34,20.22,0.0,0.0,0.0,2.12,2.12,0.0,0.0,19.74,17.18,2.56,1.54,1.02
Bulgaria,BGR,2003,36.79,-5.49,42.28,20.27,17.28,0.0,0.0,0.0,2.99,2.99,0.0,0.0,22.01,19.24,2.77,1.76,1.01
Bulgaria,BGR,2004,35.48,-5.88,41.36,19.96,16.82,0.0,0.0,0.0,3.14,3.14,0.0,0.0,21.4,18.9,2.5,1.49,1.01
Bulgaria,BGR,2005,36.31,-7.58,43.89,22.95,18.65,0.0,0.0,0.0,4.3,4.3,0.0,0.0,20.94,18.46,2.48,1.73,0.75
